"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ape","ape","/usr/local/lib/R/site-library","5.8-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn, xml2",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"apeglm","apeglm","/usr/local/lib/R/site-library","1.32.0",NA,NA,"emdbook, SummarizedExperiment, GenomicRanges, methods, stats,
utils, Rcpp","Rcpp, RcppEigen, RcppNumerical","DESeq2, airway, knitr, rmarkdown, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.1"
"aplot","aplot","/usr/local/lib/R/site-library","0.2.9",NA,"R (>= 4.1.0)","ggfun (>= 0.1.3), ggplot2, ggplotify, patchwork, magrittr,
methods, utils, yulab.utils (>= 0.1.9), pillar",NA,"ggtree",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.0"
"ashr","ashr","/usr/local/lib/R/site-library","2.2-63",NA,"R (>= 3.1.0)","Matrix, stats, graphics, Rcpp (>= 0.10.5), truncnorm, mixsqp,
SQUAREM, etrunct, invgamma","Rcpp","testthat, knitr, rmarkdown, ggplot2, REBayes",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.5.0"
"askpass","askpass","/usr/local/lib/R/site-library","1.2.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"assertthat","assertthat","/usr/local/lib/R/site-library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
"assorthead","assorthead","/usr/local/lib/R/site-library","1.4.0",NA,NA,NA,NA,"knitr, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"backports","backports","/usr/local/lib/R/site-library","1.5.0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"base64enc","base64enc","/usr/local/lib/R/site-library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"batchelor","batchelor","/usr/local/lib/R/site-library","1.26.0",NA,"SingleCellExperiment","SummarizedExperiment, S4Vectors, BiocGenerics, Rcpp, stats,
methods, utils, igraph, BiocNeighbors, BiocSingular, Matrix,
SparseArray, DelayedArray (>= 0.31.5), DelayedMatrixStats,
BiocParallel, scuttle, ResidualMatrix, ScaledMatrix, beachmat","Rcpp","testthat, BiocStyle, knitr, rmarkdown, scran, scater,
bluster, scRNAseq",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"bbmle","bbmle","/usr/local/lib/R/site-library","1.0.25.1",NA,"R (>= 3.0.0), stats4","stats, numDeriv, lattice, MASS, methods, bdsmatrix, Matrix,
mvtnorm",NA,"emdbook, rms, ggplot2, RUnit, MuMIn, AICcmodavg, Hmisc,
optimx (>= 2013.8.6), knitr, testthat",NA,"GPL",NA,NA,NA,NA,"no","4.5.0"
"bbotk","bbotk","/usr/local/lib/R/site-library","1.7.1",NA,"paradox (>= 1.0.0), R (>= 3.1.0)","checkmate (>= 2.0.0), cli, data.table, lgr, methods, mlr3misc
(>= 0.15.1), R6",NA,"adagio, emoa, GenSA, irace (>= 4.0.0), knitr, mirai, nloptr,
processx, progressr, redux, RhpcBLASctl, rush (>= 0.4.0),
testthat (>= 3.0.0)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.5.0"
"bdsmatrix","bdsmatrix","/usr/local/lib/R/site-library","1.3-7",NA,"methods, R (>= 2.0.0)",NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","4.5.0"
"beachmat","beachmat","/usr/local/lib/R/site-library","2.26.0",NA,NA,"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp","Rcpp, assorthead (>= 1.3.3)","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array, beachmat.hdf5",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"beeswarm","beeswarm","/usr/local/lib/R/site-library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.0"
"BH","BH","/usr/local/lib/R/site-library","1.87.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.5.0"
"biglm","biglm","/usr/local/lib/R/site-library","0.9-3",NA,"DBI, methods",NA,NA,"RSQLite, RODBC","leaps","GPL",NA,NA,NA,NA,"yes","4.5.0"
"Biobase","Biobase","/usr/local/lib/R/site-library","2.70.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr,
limma",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"BiocBaseUtils","BiocBaseUtils","/usr/local/lib/R/site-library","1.12.0",NA,"R (>= 4.2.0)","methods, utils",NA,"knitr, rmarkdown, BiocStyle, tinytest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BiocFileCache","BiocFileCache","/usr/local/lib/R/site-library","3.0.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, filelock, curl,
httr2",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BiocGenerics","BiocGenerics","/usr/local/lib/R/site-library","0.56.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats, generics","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, S4Arrays, SparseArray,
DelayedArray, HDF5Array, GenomicRanges, pwalign, Rsamtools,
AnnotationDbi, affy, affyPLM, DESeq2, flowClust, MSnbase,
annotate, MultiAssayExperiment, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BiocIO","BiocIO","/usr/local/lib/R/site-library","1.20.0",NA,"R (>= 4.3.0)","BiocGenerics, S4Vectors, methods, tools",NA,"testthat, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BiocManager","BiocManager","/usr/local/lib/R/site-library","1.30.26",NA,NA,"utils",NA,"BiocVersion, BiocStyle, remotes, rmarkdown, testthat, withr,
curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.0"
"BiocNeighbors","BiocNeighbors","/usr/local/lib/R/site-library","2.4.0",NA,NA,"Rcpp, methods","Rcpp, assorthead","BiocParallel, testthat, BiocStyle, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"BiocParallel","BiocParallel","/usr/local/lib/R/site-library","1.44.0",NA,"methods, R (>= 4.1.0)","stats, utils, futile.logger, parallel, snow, codetools","BH (>= 1.87.0), cpp11","BiocGenerics, tools, foreach, BBmisc, doParallel,
GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table","Rmpi","GPL-2 | GPL-3 | BSL-1.0",NA,NA,NA,NA,"yes","4.5.1"
"BiocSingular","BiocSingular","/usr/local/lib/R/site-library","1.26.1",NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat (>=
2.25.1)","Rcpp, beachmat, assorthead","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"BiocVersion","BiocVersion","/usr/local/lib/R/site-library","3.22.0",NA,"R (>= 4.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"biocViews","biocViews","/usr/local/lib/R/site-library","1.78.0",NA,"R (>= 3.6.0)","Biobase, graph (>= 1.9.26), methods, RBGL (>= 1.13.5), tools,
utils, XML, RCurl, RUnit, BiocManager",NA,"BiocGenerics, BiocPkgTools, knitr, commonmark, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"biomaRt","biomaRt","/usr/local/lib/R/site-library","2.66.0",NA,"methods, R (>= 4.5.0)","AnnotationDbi, BiocFileCache, curl, httr2, progress, stringr,
utils, xml2",NA,"BiocStyle, httptest2, knitr, mockery, rmarkdown, testthat (>=
3.0.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"Biostrings","Biostrings","/usr/local/lib/R/site-library","2.78.0",NA,"R (>= 4.1.0), BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.31.2), XVector (>= 0.37.1), Seqinfo","methods, utils, grDevices, stats, crayon","S4Vectors, IRanges, XVector","graphics, pwalign, BSgenome (>= 1.13.14),
BSgenome.Celegans.UCSC.ce2 (>= 1.3.11),
BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit, BiocStyle, knitr,
testthat (>= 3.0.0), covr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"biovizBase","biovizBase","/usr/local/lib/R/site-library","1.58.0",NA,"R (>= 3.5.0), methods","grDevices, stats, scales, Hmisc, RColorBrewer, dichromat,
BiocGenerics, S4Vectors (>= 0.23.19), IRanges (>= 1.99.28),
Seqinfo, GenomeInfoDb (>= 1.45.5), GenomicRanges (>= 1.61.1),
SummarizedExperiment (>= 1.39.1), Biostrings (>= 2.77.2),
Rsamtools (>= 2.25.1), GenomicAlignments (>= 1.45.1),
GenomicFeatures (>= 1.61.4), AnnotationDbi, VariantAnnotation
(>= 1.55.1), ensembldb (>= 2.33.1), AnnotationFilter (>=
0.99.8), rlang",NA,"BSgenome.Hsapiens.UCSC.hg19,
TxDb.Hsapiens.UCSC.hg19.knownGene, BSgenome, rtracklayer,
EnsDb.Hsapiens.v75, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"bit","bit","/usr/local/lib/R/site-library","4.6.0",NA,"R (>= 3.4.0)",NA,NA,"testthat (>= 3.0.0), roxygen2, knitr, markdown, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"bit64","bit64","/usr/local/lib/R/site-library","4.6.0-1",NA,"R (>= 3.4.0), bit (>= 4.0.0)","graphics, methods, stats, utils",NA,"testthat (>= 3.0.3), withr",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"bitops","bitops","/usr/local/lib/R/site-library","1.0-9",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"blob","blob","/usr/local/lib/R/site-library","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"bluster","bluster","/usr/local/lib/R/site-library","1.20.0",NA,NA,"stats, methods, utils, cluster, Matrix, Rcpp, igraph,
S4Vectors, BiocParallel, BiocNeighbors","Rcpp, assorthead","knitr, rmarkdown, testthat, BiocStyle, dynamicTreeCut,
scRNAseq, scuttle, scater, scran, pheatmap, viridis, mbkmeans,
kohonen, apcluster, DirichletMultinomial, vegan, fastcluster",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"BPCells","BPCells","/usr/local/lib/R/site-library","0.3.1",NA,"R (>= 4.0.0)","methods, grDevices, magrittr, Matrix, Rcpp, rlang, tools,
vctrs, lifecycle, stringr, tibble, dplyr (>= 1.0.0), tidyr,
readr, ggplot2 (>= 3.4.0), scales, patchwork, scattermore,
ggrepel, RColorBrewer, hexbin","Rcpp, RcppEigen","IRanges, GenomicRanges, matrixStats, igraph, RcppHNSW,
RcppAnnoy",NA,"Apache-2.0 or MIT",NA,NA,NA,NA,"yes","4.5.1"
"brew","brew","/usr/local/lib/R/site-library","1.0-10",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"brio","brio","/usr/local/lib/R/site-library","1.1.5",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"broom","broom","/usr/local/lib/R/site-library","1.0.10",NA,"R (>= 4.1)","backports, cli, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang (>= 1.1.0), stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)",NA,"AER, AUC, bbmle, betareg (>= 3.2-1), biglm, binGroup, boot,
btergm (>= 1.10.6), car (>= 3.1-2), carData, caret, cluster,
cmprsk, coda, covr, drc, e1071, emmeans, epiR (>= 2.0.85), ergm
(>= 3.10.4), fixest (>= 0.9.0), gam (>= 1.15), gee, geepack,
ggplot2, glmnet, glmnetUtils, gmm, Hmisc, interp, irlba,
joineRML, Kendall, knitr, ks, Lahman, lavaan (>= 0.6.18),
leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests (>= 0.1.6), muhaz,
multcomp, network, nnet, ordinal, plm, poLCA, psych, quantreg,
rmarkdown, robust, robustbase, rsample, sandwich, spatialreg,
spdep (>= 1.1), speedglm, spelling, stats4, survey, survival
(>= 3.6-4), systemfit, testthat (>= 3.0.0), tseries, vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"BSgenome","BSgenome","/usr/local/lib/R/site-library","1.78.0",NA,"R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.47.6), IRanges (>= 2.13.16), Seqinfo, GenomicRanges (>=
1.61.1), Biostrings (>= 2.77.2), BiocIO, rtracklayer (>=
1.69.1)","utils, stats, matrixStats, XVector, Rsamtools (>= 2.25.1)",NA,"BiocManager, GenomeInfoDb, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Hsapiens.UCSC.hg38.masked,
BSgenome.Mmusculus.UCSC.mm10, BSgenome.Rnorvegicus.UCSC.rn5,
BSgenome.Scerevisiae.UCSC.sacCer1,
BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene,
SNPlocs.Hsapiens.dbSNP144.GRCh38,
XtraSNPlocs.Hsapiens.dbSNP144.GRCh38, hgu95av2probe, RUnit,
BSgenomeForge",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BSgenome.Hsapiens.UCSC.hg38","BSgenome.Hsapiens.UCSC.hg38","/usr/local/lib/R/site-library","1.4.5",NA,"R (>= 4.2.0), GenomeInfoDb (>= 1.34.9), BSgenome (>= 1.66.2)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"bslib","bslib","/usr/local/lib/R/site-library","0.9.0",NA,"R (>= 2.10)","base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, future, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (> 1.8.1), testthat,
thematic, tools, utils, withr, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"cachem","cachem","/usr/local/lib/R/site-library","1.1.0",NA,NA,"rlang, fastmap (>= 1.2.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"Cairo","Cairo","/usr/local/lib/R/site-library","1.7-0",NA,"R (>= 2.7.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"callr","callr","/usr/local/lib/R/site-library","3.7.6",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"car","car","/usr/local/lib/R/site-library","3.1-3",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, Formula, MASS, mgcv, nnet, pbkrtest (>= 0.4-4),
quantreg, grDevices, utils, stats, graphics, lme4 (>=
1.1-27.1), nlme, scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, ordinal, plotrix, mvtnorm, rgl (>= 0.111.3), rio,
sandwich, SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"carData","carData","/usr/local/lib/R/site-library","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"caret","caret","/usr/local/lib/R/site-library","7.0-1",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, superpc, testthat (>= 0.9.1), themis (>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"caTools","caTools","/usr/local/lib/R/site-library","1.18.3",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"CellChat","CellChat","/usr/local/lib/R/site-library","2.2.0",NA,"R (>= 3.6.0),dplyr,igraph,ggplot2","future, future.apply, pbapply, irlba, NMF (>= 0.23.0),
ggalluvial, stringr, svglite, Matrix, ggrepel, circlize (>=
0.4.12), RColorBrewer, cowplot, methods, ComplexHeatmap,
RSpectra, Rcpp, reticulate, scales, sna, reshape2, FNN, shape,
BiocGenerics, magrittr, patchwork, colorspace, plyr, ggpubr,
ggnetwork, BiocNeighbors, plotly,shiny,bslib","Rcpp, RcppEigen","rmarkdown, knitr, roxygen2, Seurat (>= 4.0.0),
SingleCellExperiment, SummarizedExperiment,
purrr,uwot,gg.gap,wordcloud,bsicons,presto,tidyverse,tidyr,rlang",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"celldex","celldex","/usr/local/lib/R/site-library","1.20.0",NA,"SummarizedExperiment","utils, methods, Matrix, ExperimentHub, AnnotationHub,
AnnotationDbi, S4Vectors, DelayedArray, DelayedMatrixStats,
gypsum, alabaster.base, alabaster.matrix, alabaster.se, DBI,
RSQLite, jsonlite",NA,"testthat, knitr, rmarkdown, BiocStyle, DT, jsonvalidate,
BiocManager, ensembldb",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.1"
"checkmate","checkmate","/usr/local/lib/R/site-library","2.3.3",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"ChIPseeker","ChIPseeker","/usr/local/lib/R/site-library","1.46.1",NA,"R (>= 4.1.0)","AnnotationDbi, aplot, BiocGenerics, boot, dplyr, enrichplot,
IRanges, GenomeInfoDb, GenomicRanges, GenomicFeatures, ggplot2,
gplots, graphics, grDevices, gtools, magrittr, methods,
plotrix, parallel, RColorBrewer, rlang, rtracklayer, S4Vectors,
scales, stats, tibble, TxDb.Hsapiens.UCSC.hg19.knownGene,
utils, yulab.utils (>= 0.2.0)",NA,"clusterProfiler, ggimage, ggplotify, ggupset, ggVennDiagram,
knitr, org.Hs.eg.db, prettydoc, ReactomePA, rmarkdown,
testthat, TxDb.Hsapiens.UCSC.hg38.knownGene",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"chromVAR","chromVAR","/usr/local/lib/R/site-library","1.32.0",NA,"R (>= 3.5.0)","IRanges, Seqinfo, GenomicRanges, ggplot2, nabor, BiocParallel,
BiocGenerics, Biostrings, TFBSTools, Rsamtools, S4Vectors,
methods, Rcpp, grid, plotly, shiny, miniUI, stats, utils,
graphics, DT, Rtsne, Matrix, SummarizedExperiment,
RColorBrewer, BSgenome","Rcpp, RcppArmadillo","JASPAR2016, BSgenome.Hsapiens.UCSC.hg19, readr, testthat,
knitr, rmarkdown, pheatmap, motifmatchr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"cigarillo","cigarillo","/usr/local/lib/R/site-library","1.0.0",NA,"methods, BiocGenerics, S4Vectors (>= 0.47.2), IRanges,
Biostrings","stats","S4Vectors, IRanges","Rsamtools, GenomicAlignments, RNAseqData.HNRNPC.bam.chr14,
BSgenome.Hsapiens.UCSC.hg19, testthat, knitr, rmarkdown,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"circlize","circlize","/usr/local/lib/R/site-library","0.4.16",NA,"R (>= 4.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"classInt","classInt","/usr/local/lib/R/site-library","0.4-11",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"cli","cli","/usr/local/lib/R/site-library","3.6.5",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, processx, ps (>=
1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat (>= 3.2.0), tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.0"
"clipr","clipr","/usr/local/lib/R/site-library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.0"
